attribute,review_id,sentiment,evidence,confidence,review_title,review_text,review_rating
space,1608677724861,positive,she did no pee or poop!,1.0,AMAZBALLS CRATE!,"THIS SHIPPED SO FREAKING FAST!!!! This crate is PERFECT for my doodle. The divider saved me. I can Adjust the amount of space she has based on how big she grows. If pups have room, they will “eliminate” in the crate. And using the dividers cancels that. I’ve been house training my 7wk old doodle and I was Gone for 2.5hrs and she did no pee or poop! THIS CRATE IS AMAZING!!!!! I’m so glad I bought It.",5.0
quality,1632351348054,positive,good quality,1.0,Great crate,Perfect crate for my lab. He loves it. Good quality and perfect size,5.0
quality,1595694230337,positive,Love The Dumbledore!,1.0,beware to buyer always..,Nice quality kennel Love The Dumbledore! But just beware to buyer<br /> I did get it from the dent and scratched Packaging and by the time it got to my home it was extremely dented and destroy and had to use a screwdriver to put wires back into place in order to set up the crate securely to place my Belgian Malinois!,5.0
quality,1647464803398,positive,good quality,1.0,good quality,Nothing it works fine,4.0
quality,1420077153000,positive,seems to be made of good quality material,1.0,What a steal!!,Impressed! Seems to be made of good quality material and is very large! Can't believe I got it for $40! I will be getting another!,5.0
dog_suitability,1632351348054,positive,Perfect crate for my lab. He loves it.,1.0,Great crate,Perfect crate for my lab. He loves it. Good quality and perfect size,5.0
dog_suitability,1608677724861,positive,PERFECT for my doodle.,1.0,AMAZBALLS CRATE!,"THIS SHIPPED SO FREAKING FAST!!!! This crate is PERFECT for my doodle. The divider saved me. I can Adjust the amount of space she has based on how big she grows. If pups have room, they will “eliminate” in the crate. And using the dividers cancels that. I’ve been house training my 7wk old doodle and I was Gone for 2.5hrs and she did no pee or poop! THIS CRATE IS AMAZING!!!!! I’m so glad I bought It.",5.0
dog_suitability,1672358532462,positive,he fits comfortably!,1.0,Great investment,This thing is huge. Purchased for a medium sized dog and he fits comfortably! Great investment!,5.0
dog_suitability,1623615623843,positive,I’m so thankful for the divider because otherwise this crate would be way too big for our puppy.,0.9,Works great,"The crate is great. I’m so thankful for the divider because otherwise this crate (36 inch) would be way too big for our puppy. The 36 in crate is cumbersome to move/carry. Our dog is a small dog and will never need something this big. I wish I hadn’t been talked into getting such a large crate. The divider can be a little difficult to get into position/move, but I don’t have any other complaints about the crate.",5.0
divider_panel,1608677724861,positive,The divider saved me. I can Adjust the amount of space she has based on how big she grows.,1.0,AMAZBALLS CRATE!,"THIS SHIPPED SO FREAKING FAST!!!! This crate is PERFECT for my doodle. The divider saved me. I can Adjust the amount of space she has based on how big she grows. If pups have room, they will “eliminate” in the crate. And using the dividers cancels that. I’ve been house training my 7wk old doodle and I was Gone for 2.5hrs and she did no pee or poop! THIS CRATE IS AMAZING!!!!! I’m so glad I bought It.",5.0
divider_panel,1623615623843,positive,I’m so thankful for the divider.,1.0,Works great,"The crate is great. I’m so thankful for the divider because otherwise this crate (36 inch) would be way too big for our puppy. The 36 in crate is cumbersome to move/carry. Our dog is a small dog and will never need something this big. I wish I hadn’t been talked into getting such a large crate. The divider can be a little difficult to get into position/move, but I don’t have any other complaints about the crate.",5.0
new,1671222427899,positive,la jaula está nueva,1.0,Excelente,"Compré con opción de Uso Aceptable, y me encanto, la jaula está nueva, si tiene un uso es mucho, gracias.",5.0
packaging,1595694230337,negative,Nice quality kennel Love The Dumbledore! But just beware to buyer<br /> I did get it from the dent and scratched,1.0,beware to buyer always..,Nice quality kennel Love The Dumbledore! But just beware to buyer<br /> I did get it from the dent and scratched Packaging and by the time it got to my home it was extremely dented and destroy and had to use a screwdriver to put wires back into place in order to set up the crate securely to place my Belgian Malinois!,5.0
packaging,1617164593374,positive,strong packaging,1.0,Buy it!,"Great cage for my 8year old lab mix. I bought a cage large enough for a Saint Bernard! Very heavy, super easy assembly, strong packaging.",4.0
accessories,1651072004056,negative,The crates arrived and do not have the Paw Block and locking tips,1.0,Did not arrive with Paw Block and locking tips,The crates arrived and do not have the Paw Block and locking tips,1.0
price,1420077153000,positive,can't belief I got it for $40! I will be getting another,0.8,What a steal!!,Impressed! Seems to be made of good quality material and is very large! Can't believe I got it for $40! I will be getting another!,5.0
price,1631633638916,positive,Value for money,1.0,Very good,Value for money,5.0
